inning,half,run_diff,outs,base_state,home_win_prob
1,top,-5,0,0,0.112
1,top,-4,0,0,0.162
1,top,-3,0,0,0.226
1,top,-2,0,0,0.306
1,top,-1,0,0,0.399
1,top,0,0,0,0.5
1,top,-5,0,1,0.101
1,top,-4,0,1,0.146
1,top,-3,0,1,0.205
1,top,-2,0,1,0.28
1,top,-1,0,1,0.367
1,top,0,0,1,0.464
1,top,-5,0,2,0.091
1,top,-4,0,2,0.134
1,top,-3,0,2,0.189
1,top,-2,0,2,0.26
1,top,-1,0,2,0.345
1,top,0,0,2,0.44
1,top,-5,0,3,0.084
1,top,-4,0,3,0.124
1,top,-3,0,3,0.176
1,top,-2,0,3,0.242
1,top,-1,0,3,0.321
1,top,0,0,3,0.412
1,top,-5,0,4,0.081
1,top,-4,0,4,0.12
1,top,-3,0,4,0.172
1,top,-2,0,4,0.238
1,top,-1,0,4,0.32
1,top,0,0,4,0.413
1,top,-5,0,5,0.072
1,top,-4,0,5,0.107
1,top,-3,0,5,0.154
1,top,-2,0,5,0.215
1,top,-1,0,5,0.29
1,top,0,0,5,0.378
1,top,-5,0,6,0.067
1,top,-4,0,6,0.1
1,top,-3,0,6,0.144
1,top,-2,0,6,0.203
1,top,-1,0,6,0.275
1,top,0,0,6,0.36
1,top,-5,0,7,0.062
1,top,-4,0,7,0.092
1,top,-3,0,7,0.134
1,top,-2,0,7,0.188
1,top,-1,0,7,0.256
1,top,0,0,7,0.337
1,top,-5,1,0,0.119
1,top,-4,1,0,0.172
1,top,-3,1,0,0.24
1,top,-2,1,0,0.323
1,top,-1,1,0,0.419
1,top,0,1,0,0.522
1,top,-5,1,1,0.111
1,top,-4,1,1,0.161
1,top,-3,1,1,0.225
1,top,-2,1,1,0.304
1,top,-1,1,1,0.397
1,top,0,1,1,0.497
1,top,-5,1,2,0.105
1,top,-4,1,2,0.153
1,top,-3,1,2,0.214
1,top,-2,1,2,0.291
1,top,-1,1,2,0.382
1,top,0,1,2,0.481
1,top,-5,1,3,0.1
1,top,-4,1,3,0.145
1,top,-3,1,3,0.205
1,top,-2,1,3,0.279
1,top,-1,1,3,0.366
1,top,0,1,3,0.462
1,top,-5,1,4,0.094
1,top,-4,1,4,0.137
1,top,-3,1,4,0.194
1,top,-2,1,4,0.267
1,top,-1,1,4,0.354
1,top,0,1,4,0.451
1,top,-5,1,5,0.09
1,top,-4,1,5,0.132
1,top,-3,1,5,0.187
1,top,-2,1,5,0.258
1,top,-1,1,5,0.342
1,top,0,1,5,0.436
1,top,-5,1,6,0.083
1,top,-4,1,6,0.123
1,top,-3,1,6,0.175
1,top,-2,1,6,0.241
1,top,-1,1,6,0.322
1,top,0,1,6,0.414
1,top,-5,1,7,0.081
1,top,-4,1,7,0.119
1,top,-3,1,7,0.17
1,top,-2,1,7,0.235
1,top,-1,1,7,0.313
1,top,0,1,7,0.402
1,top,-5,2,0,0.125
